2022-01-15 11:56:21,625 | root | INFO | Open test.json file.
2022-01-15 11:56:21,625 | root | DEBUG | old key: block-v1:test+101+2014_T1+type@course+block@course and new_key : block-v1:test+101+2014_T1+size@5+type@course+block@course
2022-01-15 11:56:21,625 | root | DEBUG | old value: display_name and new_value : Test
2022-01-15 11:56:21,625 | root | DEBUG | old value: student_view_url and new_value : http://localhost:8000/xblock/block-v1:test+101+2014_T1+size@5+type@course+block@course
2022-01-15 11:56:21,625 | root | DEBUG | old value: id and new_value : block-v1:test+101+2014_T1+size@5+type@course+block@course
2022-01-15 11:56:21,625 | root | DEBUG | old value: lms_web_url and new_value : http://localhost:8000/courses/course-v1:test+101+2014_T1/jump_to/block-v1:test+101+2014_T1+size@5+type@course+block@course
2022-01-15 11:56:21,625 | root | DEBUG | old value: type and new_value : course
2022-01-15 11:56:21,625 | root | DEBUG | old value: children and new_value : block-v1:test+101+2014_T1+size@5+type@chapter+block@cd702a4916ce401aab60f3c3d5f212e0
2022-01-15 11:56:21,625 | root | DEBUG | old key: block-v1:test+101+2014_T1+type@problem+block@6df6093e5aed4287beba73de646a8fab and new_key : block-v1:test+101+2014_T1+size@5+type@problem+block@6df6093e5aed4287beba73de646a8fab
2022-01-15 11:56:21,625 | root | DEBUG | old value: display_name and new_value : Dropdown
2022-01-15 11:56:21,625 | root | DEBUG | old value: parent and new_value : block-v1:test+101+2014_T1+size@5+type@vertical+block@9194a768f4c74eaf943695d12a896d3b
2022-01-15 11:56:21,625 | root | DEBUG | old value: student_view_url and new_value : http://localhost:8000/xblock/block-v1:test+101+2014_T1+size@5+type@problem+block@6df6093e5aed4287beba73de646a8fab
2022-01-15 11:56:21,625 | root | DEBUG | old value: lms_web_url and new_value : http://localhost:8000/courses/course-v1:test+101+2014_T1/jump_to/block-v1:test+101+2014_T1+size@5+type@problem+block@6df6093e5aed4287beba73de646a8fab
2022-01-15 11:56:21,625 | root | DEBUG | old value: type and new_value : problem
2022-01-15 11:56:21,625 | root | DEBUG | old value: id and new_value : block-v1:test+101+2014_T1+size@5+type@problem+block@6df6093e5aed4287beba73de646a8fab
2022-01-15 11:56:21,625 | root | DEBUG | old key: block-v1:test+101+2014_T1+type@html+block@3fe70922297e4fd999517d6c4ae9052a and new_key : block-v1:test+101+2014_T1+size@5+type@html+block@3fe70922297e4fd999517d6c4ae9052a
2022-01-15 11:56:21,625 | root | DEBUG | old value: display_name and new_value : Raw HTML
2022-01-15 11:56:21,625 | root | DEBUG | old value: parent and new_value : block-v1:test+101+2014_T1+size@5+type@vertical+block@9194a768f4c74eaf943695d12a896d3b
2022-01-15 11:56:21,625 | root | DEBUG | old value: student_view_url and new_value : http://localhost:8000/xblock/block-v1:test+101+2014_T1+size@5+type@html+block@3fe70922297e4fd999517d6c4ae9052a
2022-01-15 11:56:21,625 | root | DEBUG | old value: lms_web_url and new_value : http://localhost:8000/courses/course-v1:test+101+2014_T1/jump_to/block-v1:test+101+2014_T1+size@5+type@html+block@3fe70922297e4fd999517d6c4ae9052a
2022-01-15 11:56:21,625 | root | DEBUG | old value: type and new_value : html
2022-01-15 11:56:21,625 | root | DEBUG | old value: id and new_value : block-v1:test+101+2014_T1+size@5+type@html+block@3fe70922297e4fd999517d6c4ae9052a
2022-01-15 11:56:21,625 | root | DEBUG | old key: block-v1:test+101+2014_T1+type@html+block@8a4c0c09410f4512afd43199d6b3603a and new_key : block-v1:test+101+2014_T1+size@5+type@html+block@8a4c0c09410f4512afd43199d6b3603a
2022-01-15 11:56:21,625 | root | DEBUG | old value: display_name and new_value : Text
2022-01-15 11:56:21,625 | root | DEBUG | old value: parent and new_value : block-v1:test+101+2014_T1+size@5+type@vertical+block@9194a768f4c74eaf943695d12a896d3b
2022-01-15 11:56:21,625 | root | DEBUG | old value: student_view_url and new_value : http://localhost:8000/xblock/block-v1:test+101+2014_T1+size@5+type@html+block@8a4c0c09410f4512afd43199d6b3603a
2022-01-15 11:56:21,625 | root | DEBUG | old value: lms_web_url and new_value : http://localhost:8000/courses/course-v1:test+101+2014_T1/jump_to/block-v1:test+101+2014_T1+size@5+type@html+block@8a4c0c09410f4512afd43199d6b3603a
2022-01-15 11:56:21,625 | root | DEBUG | old value: type and new_value : html
2022-01-15 11:56:21,625 | root | DEBUG | old value: id and new_value : block-v1:test+101+2014_T1+size@5+type@html+block@8a4c0c09410f4512afd43199d6b3603a
2022-01-15 11:56:21,625 | root | DEBUG | old key: block-v1:test+101+2014_T1+type@problem+block@52dd1f622e8e4e5582f3d459116f5145 and new_key : block-v1:test+101+2014_T1+size@5+type@problem+block@52dd1f622e8e4e5582f3d459116f5145
2022-01-15 11:56:21,625 | root | DEBUG | old value: display_name and new_value : Multiple Choice
2022-01-15 11:56:21,625 | root | DEBUG | old value: parent and new_value : block-v1:test+101+2014_T1+size@5+type@vertical+block@7629a70459ba4bb49fddd15a38736bbe
2022-01-15 11:56:21,625 | root | DEBUG | old value: student_view_url and new_value : http://localhost:8000/xblock/block-v1:test+101+2014_T1+size@5+type@problem+block@52dd1f622e8e4e5582f3d459116f5145
2022-01-15 11:56:21,625 | root | DEBUG | old value: lms_web_url and new_value : http://localhost:8000/courses/course-v1:test+101+2014_T1/jump_to/block-v1:test+101+2014_T1+size@5+type@problem+block@52dd1f622e8e4e5582f3d459116f5145
2022-01-15 11:56:21,625 | root | DEBUG | old value: type and new_value : problem
2022-01-15 11:56:21,625 | root | DEBUG | old value: id and new_value : block-v1:test+101+2014_T1+size@5+type@problem+block@52dd1f622e8e4e5582f3d459116f5145
2022-01-15 11:56:21,625 | root | DEBUG | old key: block-v1:test+101+2014_T1+type@problem+block@99cdba267cd04190943c5d6679d126b3 and new_key : block-v1:test+101+2014_T1+size@5+type@problem+block@99cdba267cd04190943c5d6679d126b3
2022-01-15 11:56:21,625 | root | DEBUG | old value: display_name and new_value : Multiple Choice
